AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat,Sex
1052,19601H,ST PHILIP THE APOSTLE JUNIOR N S,MOUNTVIEW,BLANCHARDSTOWN,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,136,154,290,306047.0,238906.0,-6.40584,53.3897,Mixed
1053,19605P,SCOIL NAIS MHUIRE SOIS,BLAKESTOWN,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,140,137,277,306415.0,239765.0,-6.40002,53.3973,Mixed
1054,19624T,SCOIL NAIS CAITRIONA,KENURE,RUSH,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,159,147,306,326074.0,255557.0,-6.09828,53.5348,Mixed
1055,19625V,Scoil Réalt na Mara,Balbriggan Road,Skerries,Co Dublin,,Dublin,CATHOLIC,N,N,N,218,222,440,324520.0,260559.0,-6.1197099999999995,53.5801,Mixed
1056,19627C,JOHN PAUL II N S,SONESTA,MALAHIDE,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,338,264,602,321670.0,246424.0,-6.16821,53.4538,Mixed
1057,19636D,ST PATRICKS SENIOR SCHOOL,CORDUFF,BLANCHARDSTOWN,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,166,137,303,308006.0,239954.0,-6.37605,53.3987,Mixed
1058,19643A,ST PHILIPS  SENIOR N S,MOUNTVIEW,CLONSILLA,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,163,140,303,306025.0,238879.0,-6.40618,53.3894,Mixed
1059,19644C,ST CIARANS N S,HARTSTOWN,DUBLIN 15,,,Dublin,CATHOLIC,N,N,N,405,372,777,305108.0,239317.0,-6.41981,53.3935,Mixed
1060,19660A,RUSH NS,RUSH,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,350,375,725,325780.0,253950.0,-6.10335,53.5204,Mixed
1061,19693P,MARY QUEEN OF IRELAND N S,TOBERBURR,CO DUBLIN,,,Dublin,CATHOLIC,N,Y,N,31,37,68,313480.0,246057.0,-6.291580000000001,53.4524,Mixed
1062,19694R,SCOIL MHUIRE SIN,BLAKESTOWN,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,150,134,284,306482.0,239803.0,-6.399,53.3976,Mixed
1063,19721R,HOLY FAMILY JUNIOR N S,FOREST FIELDS,SWORDS,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,335,336,671,316836.0,246083.0,-6.24108,53.4519,Mixed
1064,19755L,SACRED HEART N S,HUNTSTOWN,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,N,N,448,421,869,305798.0,240310.0,-6.40911,53.4023,Mixed
1065,19762I,ST HELENS SENIOR N S,MARTELLO,PORTMARNOCK,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,121,113,234,323907.0,244909.0,-6.13515,53.4397,Mixed
